2026-06-25 00:25:00,357 | INFO     | pipeline | =================================================================
2026-06-25 00:25:00,357 | INFO     | pipeline |   PIPELINE DÉCHETS MÉNAGERS — DÉMARRAGE
2026-06-25 00:25:00,359 | INFO     | pipeline |   2026-06-25 00:25:00
2026-06-25 00:25:00,360 | INFO     | pipeline | =================================================================
2026-06-25 00:25:00,360 | INFO     | pipeline | 
[ÉTAPE 1/4] Chargement et contrôle qualité des données brutes...
2026-06-25 00:25:00,360 | INFO     | loader | Chargement : c:\Users\User\Desktop\Ecole\AS3\Projet Traitement donnees\Insalubrite_traitement_donnees\input\Base.dta
2026-06-25 00:25:00,460 | INFO     | loader | Dimensions brutes : 2474 lignes × 130 colonnes
2026-06-25 00:25:00,463 | INFO     | loader | Nettoyage des types terminé.
2026-06-25 00:25:00,464 | WARNING  | loader | Colonne attendue absente : 'I_3' (Âge répondant) — contrôle outlier ignoré.
2026-06-25 00:25:00,465 | WARNING  | loader | Colonne attendue absente : 'I_9' (Âge chef de ménage) — contrôle outlier ignoré.
2026-06-25 00:25:00,475 | INFO     | loader | Contrôles qualité : 10 signalements générés.
2026-06-25 00:25:00,475 | INFO     | pipeline |   → 2474 ménages chargés, 10 anomalies détectées.
2026-06-25 00:25:00,475 | INFO     | pipeline | 
[ÉTAPE 2/4] Construction des variables analytiques...
2026-06-25 00:25:00,476 | WARNING  | builder | Colonne brute absente : 'Commune' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,484 | WARNING  | builder | Colonne brute absente : 'I_5_1' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,485 | WARNING  | builder | Colonne brute absente : 'I_5_2' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,485 | WARNING  | builder | Colonne brute absente : 'I_5_3' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,485 | WARNING  | builder | Colonne brute absente : 'I_5_4' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,486 | WARNING  | builder | Colonne brute absente : 'I_6' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,488 | WARNING  | builder | Colonne brute absente : 'I_7' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,491 | WARNING  | builder | Colonne brute absente : 'II_24' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,494 | INFO     | builder | Bloc A (ménage) : 10 variables construites.
2026-06-25 00:25:00,495 | WARNING  | builder | Colonne brute absente : 'I_8' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,497 | WARNING  | builder | Colonne brute absente : 'I_9' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,501 | WARNING  | builder | Colonne brute absente : 'I_4' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,505 | WARNING  | builder | Colonne brute absente : 'I_10' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,507 | WARNING  | builder | Colonne brute absente : 'I_11' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,509 | WARNING  | builder | Colonne brute absente : 'I_12_1' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,511 | WARNING  | builder | Colonne brute absente : 'I_12_2' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,513 | WARNING  | builder | Colonne brute absente : 'I_12_3' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,517 | WARNING  | builder | Colonne brute absente : 'I_12_4' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,520 | INFO     | builder | Bloc B (CM) : 16 variables construites.
2026-06-25 00:25:00,689 | WARNING  | builder | Colonne brute absente : 'II_3' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,692 | WARNING  | builder | Colonne brute absente : 'II_4' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,693 | WARNING  | builder | Colonne brute absente : 'II_5' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,698 | WARNING  | builder | Colonne brute absente : 'II_6' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,700 | WARNING  | builder | Colonne brute absente : 'II_7' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,702 | WARNING  | builder | Colonne brute absente : 'II_8' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,783 | WARNING  | builder | Colonne brute absente : 'II_10' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,785 | WARNING  | builder | Colonne brute absente : 'II_11' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,787 | WARNING  | builder | Colonne brute absente : 'II_12_1' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,789 | WARNING  | builder | Colonne brute absente : 'II_12_2' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,791 | WARNING  | builder | Colonne brute absente : 'II_12_3' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,792 | WARNING  | builder | Colonne brute absente : 'II_12_4' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,798 | WARNING  | builder | Colonne brute absente : 'II_13' — variable(s) dérivée(s) mise(s) à NaN.
